,Empresas,Ativos,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
11,Honeywell,HONB34F,HONB34,,,,
12,GE,GEOO34F,GEOO34,,,,
13,Goldman Sachs,GSGI34F,GSGI34,,,,
14,Citigroup,CTGP34F,CTGP34,,,,
15,Bank America,BOAC34F,BOAC34,,,,
16,3M,MMMC34F,MMMC34,,,,
17,Sao Carlos,SCAR3F,SCAR3,,,,
18,LPS Brasil,LPSB3F,LPSB3,,,,
19,BMG,BMGB11,BMGB4,,,,
20,Gradiente,IGBR3F,IGBR3,,,,
21,General Shopping,GSHP3F,GSHP3,,,,
22,Porto Seguro,PSSA3F,PSSA3,,,,
23,CSU CardSyst,CARD3F,CARD3,,,,
24,Brasil Brokers,BBRK3F,BBRK3,,,,
25,BR Properties,BRPR3F,BRPR3,,,,
26,Banrisul,BRSR6F,BRSR5F,BRSR3F,BRSR6,BRSR5,BRSR3
27,Banco Inter,BIDI3,BIDI11,BIDI4,,,
28,Santander BR,SANB4F,SANB3F,SANB11F,SANB4,SANB3,SANB11
29,Multiplan,MULT3F,MULT3,,,,
30,Itaú Unibanco,ITUB3F,ITUB4,ITUB3,ITUB4F,,
31,Aliansce Sonae,ALSO3,,,,,
32,Banco Mercantil de Investimentos,BMIN3,,,,,
33,Mercantil do Brasil Financeira,MERC4,,,,,
34,Log,LOGG3,,,,,
35,Itaúsa,ITSA4F,ITSA4,ITSA3F,,,
36,IRB Brasil RE,IRBR3,,,,,
37,Padtec,PDTC3,,,,,
38,SYN Prop Tech,SYNE3,,,,,
39,Bradesco,BBDC4F,BBDC4,BBDC3,,,
40,brMalls,BRML3,,,,,
41,Alper,APER3F,APER3,,,,
42,BB Seguridade,BBSE3,,,,,
43,Banco Pan,BPAN4,,,,,
44,Banco do Brasil,BBAS3F,BBAS3,BBAS12,BBAS11,,
45,American Express,AXPB34,,,,,
0,Terra Santa Agro SA,LAND3,,,,,
1,Dexxos Part,DEXP4,DEXP3,,,,
2,Celul Irani,RANI3F,RANI4F,,,,
3,Freeport,FCXO34F,FCXO34,,,,
4,Paranapanema,PMAM3F,PMAM3,,,,
5,Ferbasa,FESA4F,FESA3F,FESA4,FESA3,,
6,Eucatex,EUCA4F,EUCA3F,EUCA4,EUCA3,,
7,Suzano Papel,SUZB3F,SUZB3,,,,
8,Klabin S/A,KLBN4F,KLBN3F,KLBN11F,KLBN4,KLBN3,KLBN11
9,Vale,VALE5,,,,,
10,Unipar,UNIP6F,UNIP6,UNIP5F,UNIP5,UNIP3,
11,Suzano Holding,NEMO6,NEMO5,NEMO3,,,
12,MMX Mineração,MMXM3,MMXM11,,,,
13,Gerdau,GOAU4,,,,,
14,Dexco,DXCO3,,,,,
15,CSN,CSNA3F,CSNA3,,,,
16,Celulose Irani,RANI4,,,,,
17,Braskem,BRKM6,BRKM5F,BRKM5,BRKM3,,
18,Bradespar,BRAP4F,BRAP4,BRAP3F,BRAP3,,
19,Arcelor,ARMT34,,,,,
0,FII ROOFTOPICI,ROOF11,,,,,
1,FIAGRO JGP CI,JGPX11,,,,,
2,FII PLUR URBCI,PURB11,,,,,
3,FII BRIO ME CI,BIME11,,,,,
4,FII JS A FINCI,JSAF11,,,,,
5,Tellus Desenvolvimento Logístico,TELD11,,,,,
6,FII MORE CRICI ER,MORC11,,,,,
7,FII HUSI CI ES,HUSI11,,,,,
8,FII CYRELA CI,CYCR11,,,,,
9,EQI RECECI,EQIR11,,,,,
10,CARTESIA FIICI,CACR11,,,,,
11,FIAGRO RIZA CI,RZAG11,,,,,
12,Wilson Sons,PORT3,,,,,
13,Getnet,GETT11,GETT4,GETT3,,,
14,BKR US ENER,BIYE39,,,,,
15,BKR MS EAFE,BSCZ39,,,,,
16,BKR MS USA S,BUSA39,,,,,
17,BKR MS RUSS,BERU39,,,,,
18,BKR SEMICOND,BSOX39,,,,,
19,FT NAT GAS,BFCG39,,,,,
20,FT HCARE ALPH DRN,BFXH39,,,,,
21,FT TECH ALPH,BFTA39,,,,,
22,FT CLOUD CPT,BKYY39,,,,,
23,FT NASD100 TC,BQTC39,,,,,
24,FT DJ INTERN,BFDN39,,,,,
25,FT RISI DIVID,BFDA39,,,,,
26,FT INTL EQ OP,BFPI39,,,,,
27,FT NASD100 EQ,BQQW39,,,,,
28,FT EQ OPPORT,BFPX39,,,,,
29,FT NASD CYBER,BCIR39,,,,,
30,FT MOR DV LEA,BFDL39,,,,,
31,FT NYSE BIOT DRN,BFBI39,,,,,
32,BKR SP100 DRN ED,BOEF39,,,,,
33,BKR MS WLD,BURT39,,,,,
34,BKR GL Clean,BICL39,,,,,
35,BKR GL Fin,BIXG39,,,,,
36,Coinbase Glob,C2OI34,,,,,
37,Store Capital,S2TO34,,,,,
38,ISHARES MILA,MILA,,,,,
39,ISHARES CSMO,CSMO,,,,,
40,IT NOW HYDROCI,YDRO11,,,,,
41,BTG S&P 500 CI,SPXB11,,,,,
42,BTG SMLL CAPCI,SMAB11,,,,,
43,West Pharma,W2ST34,,,,,
44,Squarespace,S2QS34,,,,,
45,Uipath Inc,P2AT34,,,,,
46,Godaddy Inc,G2DD34,,,,,
47,Doordash Inc,D2AS34,,,,,
48,Camden Prop,C2PT34,,,,,
49,Sp500growth,BIVW39,,,,,
50,Sp500 Value,BIVE39,,,,,
51,Msciglmivolf,BCWV39,,,,,
52,Avalara Inc,A2VL34,,,,,
53,Amc Entert H,A2MC34,,,,,
54,AF Invest,AFHI11,,,,,
55,BRL Trust DTVM,HSRE11,,,,,
56,Votorantim Asset Management,VSEC11,,,,,
57,Agribrasil,GRAO3,,,,,
58,INVESTO USTK,USTK11,,,,,
59,AgroGalaxy,AGXY3,,,,,
60,Tronox,CRPG6,CRPG5,CRPG3,,,
61,Smart Fit,SMFT3,,,,,
62,Boa Safra,SOJA3,,,,,
63,Zynga Inc,Z2NG34,,,,,
64,Trade Desk,T2TD34,,,,,
65,Teladochealt,T2DH34,,,,,
66,Sun Commun,S2UI34,,,,,
67,Square Inc,S2QU34,,,,,
68,Snowflake,S2NW34,,,,,
69,Shopify Inc,S2HO34,,,,,
70,Caesars Entt,C2ZR34,,,,,
71,Unity Softwr,U2ST34,,,,,
72,Sea Ltd,S2EA34,,,,,
73,Penn Nationl,P2EN34,,,,,
74,Medical P Tr,M2PW34,,,,,
75,Kingsoft Chl,K2CG34,,,,,
76,Draftkings,D2KN34,,,,,
77,Cyrusone Inc,C2ON34,,,,,
78,Churchill Dw,C2HD34,,,,,
79,Beyond Meat,B2YN34,,,,,
80,Energisa MT,ENMT4,ENMT3,,,,
81,AirBnb,AIRB34,,,,,
82,PagSeguro,PAGS34,,,,,
83,HBR Realty,HBRE3,HBRE3F,,,,
84,TREND CHINA,XINA11,,,,,
85,Global Tech,BIXN39,,,,,
86,Globalhealth,BIXJ39,,,,,
87,Rede D’Or São Luiz,RDOR3,,,,,
88,RB Capital,RCRI11B,,,,,
89,JPP Capital,JPPA11,,,,,
90,Vectis Juros Real,VCJR11,,,,,
91,Aura 360 Atz,AURA33,,,,,
92,Trx Real Estate II,TRXB11,,,,,
93,Bluecap Renda Logistica,BLCP11,,,,,
0,Vibra Energia S.A,VBBR3,,,,,
1,Raízen,RAIZ4,,,,,
2,PetroRecôncavo Geral SA,RECV3,,,,,
3,Schlumberger,SLBG34F,SLBG34,,,,
4,Halliburton,HALI34F,HALI34,,,,
5,Cophillips,COPH34,COPH34,,,,
6,Chevron,CHVX34F,CHVX34,,,,
7,PETRORIO,PRIO3F,PRIO3,,,,
8,OSX Brasil,OSXB3F,OSXB3,,,,
9,Dommo,DMMO11,DMMO3F,DMMO3,,,
10,Pet Manguinhos,RPMG3F,RPMG3,,,,
11,Ultrapar,UGPA3,UGPA3F,,,,
12,Petrobras,PETR4F,PETR4,PETR3F,PETR3,,
13,Exxon Mobil,EXXO34,,,,,
14,Enauta Part,ENAT3,,,,,
0,Oncoclínicas,ONCO3,,,,,
1,Viveo,VVEO3,,,,,
2,Instituto Hermes Pardini SA,PARD3,,,,,
3,Biomm,BIOM3F,BIOM3,,,,
4,Baumer,BALM3F,BALM4F,BALM4,BALM3,,
5,Pfizer,PFIZ34F,PFIZ34,,,,
6,Merck,MRCK34F,MRCK34,,,,
7,Biotoscana,GBIO33F,GBIO33,,,,
8,Dimed,PNVL4F,PNVL3F,PNVL4,PNVL3,,
9,Alliar,AALR3F,AALR3,,,,
10,OdontoPrev,ODPV3F,ODPV3,,,,
11,RD,RADL3F,RADL3,,,,
12,Qualicorp,QUAL3F,QUAL3,,,,
13,Ourofino S/A,OFSA3,,,,,
14,Johnson,JNJB34,,,,,
15,Hypera Pharma,HYPE3,,,,,
16,Fleury,FLRY3,,,,,
17,Bristolmyers,BMYB34,,,,,
18,Abbott Laboratories,ABTT34,,,,,
0,ClearSale,CLSA3,,,,,
1,Livetech,LVTC3,,,,,
2,G2D Investments,G2DI33,,,,,
3,Infracommerce,IFCM3,,,,,
4,Alphabet,GOGL35,,,,,
5,Locaweb,LWSA3,,,,,
6,Totvs,TOTS3F,TOTS3,,,,
7,Xerox,XRXB34F,XRXB34,,,,
8,Qualcomm,QCOM34F,QCOM34,,,,
9,Oracle,ORCL34F,ORCL34,,,,
10,Microsoft,MSFT34F,MSFT34,,,,
11,IBM,IBMB34F,IBMB34,,,,
12,Intel,ITLC34F,ITLC34,,,,
13,HP Company,HPQB34F,HPQB34,,,,
14,eBay,EBAY34F,,,,,
15,Cisco,CSCO34F,CSCO34,,,,
16,Att Inc,ATTB34F,,,,,
17,Apple,AAPL34F,AAPL34,,,,
18,Linx,LINX3F,LINX3,,,,
19,Positivo Inf,POSI3F,POSI3,,,,
20,Ebay,EBAY34,,,,,
0,Brisanet,BRIT3,,,,,
1,Unifique,FIQE3,,,,,
2,Desktop,DESK3,,,,,
3,Verizon,VERZ34F,VERZ34,,,,
4,OI,OIBR4F,OIBR4,OIBR,,,
5,Tim Participações,TIMS3F,TIMS3,,,,
6,Telefônica Brasil S.A,VIVT4F,VIVT4,VIVT3F,VIVT3,,
7,Telebras,TELB4F,TELB4,TELB3F,TELB3,,
8,Att Inc,ATTB34,,,,,
0,Celpe,CEPE6F,CEPE5F,CEPE3F,CEPE6,CEPE5,CEPE3
1,CEEE-D,CEED3F,CEED4F,CEED4,CEED3,,
2,Ceee-gt,EEEL4F,EEEL3F,EEEL4,EEEL3,,
3,Casan,CASN4F,CASN3F,CASN4,CASN3,,
4,CEG,CEGR3F,CEGR3,,,,
5,CEB,CEBR3F,CEBR6F,CEBR5F,CEBR6,CEBR5,CEBR3
6,Renova,RNEW11F,RNEW11F,RNEW4F,RNEW4,RNEW3,
7,Coelce,COCE6F,COCE5F,COCE3F,COCE6,COCE5,COCE3
8,Celesc,CLSC4F,CLSC3F,CLSC4,CLSC3,,
9,Alupar Investimento,ALUP4F,ALUP3F,ALUP11F,ALUP4,ALUP3,ALUP11
10,Sanepar,SAPR11F,SAPR4F,SAPR3F,SAPR4,SAPR3,SAPR11
11,CPFL Renovav,CPRE3F,CPRE3,,,,
12,Copel,CPLE5F,CPLE6F,CPLE6,CPLE5,CPLE3F,CPLE3
13,CPFL Energia,CPFE3F,CPFE3,,,,
14,Comgás,CGAS3F,CGAS5F,CGAS5,CGAS3,,
15,AES Brasil,AESB3F,AESB3,,,,
16,Neoenergia,NEOE3,,,,,
17,ISA CTEEP,TRPL4F,TRPL4,TRPL3F,TRPL3,,
18,Engie Brasil,EGIE3,,,,,
19,Taesa,TAEE4,TAEE3,TAEE11,,,
20,Sabesp,SBSP3F,SBSP3,,,,
21,Renaova,RNEW11,,,,,
22,Ger Paranapanema,GEPA4,GEPA3,,,,
23,CESP,CESP6,CESP5,CESP3F,CESP3,,
24,Cemig,CMIG4,CMIG3F,CMIG3,,,
25,Afluente T,AFLT3,,,,,
